"words","frequency","first","second"
"i think",439,"i","think"
"i love",431,"i","love"
"i know",385,"i","know"
"i can",320,"i","can"
"i just",312,"i","just"
"i want",255,"i","want"
"i will",241,"i","will"
"right now",189,"right","now"
"i like",187,"i","like"
"i need",187,"i","need"
"i feel",165,"i","feel"
"i get",159,"i","get"
"i got",158,"i","got"
"last night",156,"last","night"
"i hope",151,"i","hope"
"i really",149,"i","really"
"i thought",127,"i","thought"
"now i",121,"now","i"
"but i",111,"but","i"
"i don’t",110,"i","don’t"
"i wish",107,"i","wish"
"time i",106,"time","i"
"feel like",105,"feel","like"
"i see",102,"i","see"
"im going",102,"im","going"
"you can",102,"you","can"
"i hate",100,"i","hate"
"looking forward",92,"looking","forward"
"i never",90,"i","never"
"i always",88,"i","always"
"i used",88,"i","used"
"and i",86,"and","i"
"i say",84,"i","say"
"know i",84,"know","i"
"i found",83,"i","found"
"i guess",82,"i","guess"
"make sure",81,"make","sure"
"let know",80,"let","know"
"new york",80,"new","york"
"good luck",79,"good","luck"
"so i",78,"so","i"
"like i",77,"like","i"
"think i",77,"think","i"
"you know",77,"you","know"
"can get",76,"can","get"
"can i",76,"can","i"
"i also",76,"i","also"
"i said",76,"i","said"
"when i",76,"when","i"
"good morning",75,"good","morning"
"i still",75,"i","still"
"cant wait",74,"cant","wait"
"i made",74,"i","made"
"i miss",74,"i","miss"
"first time",73,"first","time"
"i saw",71,"i","saw"
"wish i",71,"wish","i"
"i mean",69,"i","mean"
"i went",69,"i","went"
"looks like",69,"looks","like"
"of course",69,"of","course"
"happy birthday",68,"happy","birthday"
"just got",68,"just","got"
"i believe",67,"i","believe"
"last year",67,"last","year"
"next week",67,"next","week"
"i find",65,"i","find"
"i wanted",64,"i","wanted"
"im sure",64,"im","sure"
"can see",63,"can","see"
"well i",63,"well","i"
"i read",62,"i","read"
"i even",60,"i","even"
"last week",60,"last","week"
"mothers day",59,"mothers","day"
"one day",58,"one","day"
"i go",57,"i","go"
"i going",57,"i","going"
"i started",57,"i","started"
"thanks follow",57,"thanks","follow"
"if i",56,"if","i"
"years ago",56,"years","ago"
"i look",55,"i","look"
"yes i",54,"yes","i"
"even though",53,"even","though"
"today i",53,"today","i"
"social media",52,"social","media"
"i remember",51,"i","remember"
"since i",50,"since","i"
"follow back",48,"follow","back"
"thanks much",48,"thanks","much"
"can make",47,"can","make"
"i decided",47,"i","decided"
"look like",47,"look","like"
"i didn’t",46,"i","didn’t"
"i felt",46,"i","felt"
"i told",46,"i","told"
"much i",45,"much","i"
"next time",45,"next","time"
"one thing",45,"one","thing"
"i put",44,"i","put"
"just like",44,"just","like"
"sounds like",44,"sounds","like"
"every time",43,"every","time"
"long time",43,"long","time"
"please follow",43,"please","follow"
"something i",43,"something","i"
"thanks following",43,"thanks","following"
"the first",43,"the","first"
"things i",43,"things","i"
"day i",42,"day","i"
"high school",42,"high","school"
"i i",42,"i","i"
"i took",42,"i","took"
"i wanna",42,"i","wanna"
"though i",42,"though","i"
"come back",41,"come","back"
"don’t know",41,"don’t","know"
"great day",41,"great","day"
"i tried",41,"i","tried"
"im gonna",41,"im","gonna"
"im just",41,"im","just"
"im still",41,"im","still"
"say i",41,"say","i"
"thing i",41,"thing","i"
"go back",40,"go","back"
"i heard",40,"i","heard"
"will never",40,"will","never"
"year old",40,"year","old"
"at least",39,"at","least"
"really want",39,"really","want"
"seems like",39,"seems","like"
"thought i",39,"thought","i"
"want go",39,"want","go"
"every day",38,"every","day"
"get back",38,"get","back"
"i knew",38,"i","knew"
"i can’t",37,"i","can’t"
