"words","frequency","first","second","third","fourth"
"x x x x",17,"x","x","x","x"
"i feel like i",10,"i","feel","like","i"
"i feel like im",9,"i","feel","like","im"
"i don’t know i",6,"i","don’t","know","i"
"i really want go",6,"i","really","want","go"
"i think i can",6,"i","think","i","can"
"add boston add boston",5,"add","boston","add","boston"
"andrea russett love andrea",5,"andrea","russett","love","andrea"
"full text campaign buzz",5,"full","text","campaign","buzz"
"i don’t know i’m",5,"i","don’t","know","i’m"
"i know i can",5,"i","know","i","can"
"i think i need",5,"i","think","i","need"
"love andrea russett love",5,"love","andrea","russett","love"
"russett love andrea russett",5,"russett","love","andrea","russett"
"sq ft million invested",5,"sq","ft","million","invested"
"text campaign buzz march",5,"text","campaign","buzz","march"
"wet wet wet wet",5,"wet","wet","wet","wet"
"boston add boston add",4,"boston","add","boston","add"
"don’t know i’m ready",4,"don’t","know","i’m","ready"
"happy new year everyone",4,"happy","new","year","everyone"
"i don’t think i",4,"i","don’t","think","i"
"just somebody i used",4,"just","somebody","i","used"
"please let us know",4,"please","let","us","know"
"say happy mothers day",4,"say","happy","mothers","day"
"somebody i used know",4,"somebody","i","used","know"
"what can i say",4,"what","can","i","say"
"boots boots boots boots",3,"boots","boots","boots","boots"
"can i expect someone",3,"can","i","expect","someone"
"can’t buy time fell",3,"can’t","buy","time","fell"
"couple weeks ago i",3,"couple","weeks","ago","i"
"dont forget follow google",3,"dont","forget","follow","google"
"first time long time",3,"first","time","long","time"
"get real rewards just",3,"get","real","rewards","just"
"go back work tomorrow",3,"go","back","work","tomorrow"
"happy cinco de mayo",3,"happy","cinco","de","mayo"
"have great weekend everyone",3,"have","great","weekend","everyone"
"have one on me",3,"have","one","on","me"
"how can i expect",3,"how","can","i","expect"
"i can say i",3,"i","can","say","i"
"i felt like i",3,"i","felt","like","i"
"i just want go",3,"i","just","want","go"
"i know im going",3,"i","know","im","going"
"i look forward reading",3,"i","look","forward","reading"
"i love much i",3,"i","love","much","i"
"i must admit i",3,"i","must","admit","i"
"i really really really",3,"i","really","really","really"
"i see i can",3,"i","see","i","can"
"i think i just",3,"i","think","i","just"
"i want go back",3,"i","want","go","back"
"i will follow back",3,"i","will","follow","back"
"im going eat today",3,"im","going","eat","today"
"last night i got",3,"last","night","i","got"
"make dream come true",3,"make","dream","come","true"
"martin luther king jr",3,"martin","luther","king","jr"
"ms ohio valley chapter",3,"ms","ohio","valley","chapter"
"now just somebody i",3,"now","just","somebody","i"
"one year since i",3,"one","year","since","i"
"real rewards just watching",3,"real","rewards","just","watching"
"relativistic quantum field theories",3,"relativistic","quantum","field","theories"
"rewards just watching tv",3,"rewards","just","watching","tv"
"so so so so",3,"so","so","so","so"
"super tuesday speech remarks",3,"super","tuesday","speech","remarks"
"the new york times",3,"the","new","york","times"
"think i can get",3,"think","i","can","get"
"this week want see",3,"this","week","want","see"
"tutu tutu tutu tutu",3,"tutu","tutu","tutu","tutu"
"tweet tweet tweet tweet",3,"tweet","tweet","tweet","tweet"
"u u u u",3,"u","u","u","u"
"where can i get",3,"where","can","i","get"
"you know i love",3,"you","know","i","love"
"a bold new way",2,"a","bold","new","way"
"a child whose parent",2,"a","child","whose","parent"
"a years ago i",2,"a","years","ago","i"
"act like lady think",2,"act","like","lady","think"
"agency health care administration",2,"agency","health","care","administration"
"all i know i",2,"all","i","know","i"
"am med assoc jama",2,"am","med","assoc","jama"
"and yes i know",2,"and","yes","i","know"
"andre switches christmas lights",2,"andre","switches","christmas","lights"
"as i said i",2,"as","i","said","i"
"attempt bring mother back",2,"attempt","bring","mother","back"
"attraction forget get number",2,"attraction","forget","get","number"
"bday best gift follow",2,"bday","best","gift","follow"
"beautiful i sexy i",2,"beautiful","i","sexy","i"
