"words","frequency","first","second","third"
"a big thank",3,"a","big","thank"
"a bold new",2,"a","bold","new"
"a child whose",2,"a","child","whose"
"a christmas story",2,"a","christmas","story"
"a clockwork orange",2,"a","clockwork","orange"
"a friend mine",3,"a","friend","mine"
"a friend s",2,"a","friend","s"
"a hours later",2,"a","hours","later"
"a life cycle",2,"a","life","cycle"
"a years ago",3,"a","years","ago"
"able get married",2,"able","get","married"
"able offer best",2,"able","offer","best"
"absolutely amazing actress",2,"absolutely","amazing","actress"
"act like lady",2,"act","like","lady"
"actually makes sense",2,"actually","makes","sense"
"actually one thing",2,"actually","one","thing"
"add boston add",5,"add","boston","add"
"after i saw",2,"after","i","saw"
"agency health care",2,"agency","health","care"
"ago i went",2,"ago","i","went"
"ah i wish",2,"ah","i","wish"
"air conditioning unit",2,"air","conditioning","unit"
"all i ask",2,"all","i","ask"
"all i know",5,"all","i","know"
"all i say",2,"all","i","say"
"all i want",4,"all","i","want"
"all that is",2,"all","that","is"
"almost entire day",2,"almost","entire","day"
"almost every day",2,"almost","every","day"
"almost everything i",2,"almost","everything","i"
"already bought tickets",2,"already","bought","tickets"
"also like use",2,"also","like","use"
"also make sure",2,"also","make","sure"
"also really great",2,"also","really","great"
"although i know",2,"although","i","know"
"although i’m sure",3,"although","i’m","sure"
"always find something",2,"always","find","something"
"always happy help",2,"always","happy","help"
"always love you",2,"always","love","you"
"always nice dream",2,"always","nice","dream"
"always one person",2,"always","one","person"
"always wanted one",2,"always","wanted","one"
"always wanted see",2,"always","wanted","see"
"always worry things",2,"always","worry","things"
"am med assoc",2,"am","med","assoc"
"and course i",2,"and","course","i"
"and i always",2,"and","i","always"
"and i can",2,"and","i","can"
"and i even",2,"and","i","even"
"and i ever",2,"and","i","ever"
"and i got",2,"and","i","got"
"and i know",4,"and","i","know"
"and i love",8,"and","i","love"
"and i loved",2,"and","i","loved"
"and i need",2,"and","i","need"
"and i really",2,"and","i","really"
"and i said",2,"and","i","said"
"and i saw",2,"and","i","saw"
"and i start",2,"and","i","start"
"and i think",4,"and","i","think"
"and i thought",2,"and","i","thought"
"and i will",2,"and","i","will"
"and im proud",2,"and","im","proud"
"and just like",2,"and","just","like"
"and let’s say",2,"and","let’s","say"
"and now i",6,"and","now","i"
"and soon darkness",2,"and","soon","darkness"
"and think i",3,"and","think","i"
"and yes i",2,"and","yes","i"
"and yet i",3,"and","yet","i"
"anders behring breivik",3,"anders","behring","breivik"
"andre switches christmas",2,"andre","switches","christmas"
"andrea russett love",5,"andrea","russett","love"
"angel food cake",2,"angel","food","cake"
"anne arundel county",2,"anne","arundel","county"
"another reason i",2,"another","reason","i"
"another thing i",3,"another","thing","i"
"answer for yes",2,"answer","for","yes"
"answer i hope",2,"answer","i","hope"
"anyone else get",2,"anyone","else","get"
"anyone else problem",2,"anyone","else","problem"
"anyone wanna go",2,"anyone","wanna","go"
"anyone want watch",2,"anyone","want","watch"
"anything can happen",2,"anything","can","happen"
"anything i can",3,"anything","i","can"
"apple tarte tatin",2,"apple","tarte","tatin"
"appreciate little things",2,"appreciate","little","things"
"april fools day",3,"april","fools","day"
"april i will",2,"april","i","will"
"april showers bring",2,"april","showers","bring"
"arguably one best",2,"arguably","one","best"
"around long enough",2,"around","long","enough"
"around street corners",2,"around","street","corners"
"around visit blogs",2,"around","visit","blogs"
"arrangements correspond particles",2,"arrangements","correspond","particles"
"as can see",4,"as","can","see"
"as far i",4,"as","far","i"
"as fate i",2,"as","fate","i"
"as i mentioned",3,"as","i","mentioned"
"as i said",7,"as","i","said"
"as i watched",2,"as","i","watched"
"as much i",2,"as","much","i"
"as previously mentioned",2,"as","previously","mentioned"
"as someone works",2,"as","someone","works"
"as soon i",2,"as","soon","i"
"ask one thing",2,"ask","one","thing"
"asked i wanted",2,"asked","i","wanted"
"asked take pictures",2,"asked","take","pictures"
"at age i",2,"at","age","i"
"at end day",4,"at","end","day"
"at first i",3,"at","first","i"
"at first just",2,"at","first","just"
"at least got",2,"at","least","got"
"at least i",3,"at","least","i"
"at least one",2,"at","least","one"
"at moment i",2,"at","moment","i"
"at one time",3,"at","one","time"
"at point mr",2,"at","point","mr"
"attempt bring mother",2,"attempt","bring","mother"
"attraction forget get",2,"attraction","forget","get"
"authentic selves can",2,"authentic","selves","can"
"away i feel",2,"away","i","feel"
"awesome i think",2,"awesome","i","think"
"awesome i will",2,"awesome","i","will"
"aww im sorry",2,"aww","im","sorry"
"b a r",2,"b","a","r"
"b player will",2,"b","player","will"
"back another year",2,"back","another","year"
"back i can",3,"back","i","can"
"back i know",2,"back","i","know"
"back i think",2,"back","i","think"
"back work tomorrow",3,"back","work","tomorrow"
"baking brothers turn",2,"baking","brothers","turn"
"base bugs bunny",2,"base","bugs","bunny"
"basically wander outside",2,"basically","wander","outside"
"basically way can",2,"basically","way","can"
"bday best gift",2,"bday","best","gift"
"beautiful i sexy",2,"beautiful","i","sexy"
"because i love",3,"because","i","love"
"become one favorite",2,"become","one","favorite"
"bed every night",2,"bed","every","night"
"being sick book",2,"being","sick","book"
"bell pepper zucchini",2,"bell","pepper","zucchini"
"besides pr couture",2,"besides","pr","couture"
"best day life",2,"best","day","life"
